0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
237,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013
238,"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874,4,2013
239,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,8,2013
240,Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000,77,2013
241,First-order theorem proving,Multivariate,Classification,Real,6118,51,2013
242,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18,2013
243,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013
244,Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013
245,MicroMass,Multivariate,Classification,Real,931,1300,2013
246,QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41,2013
247,BLOGGER,Multivariate,Classification,,100,6,2013
248,Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120,5625,2013
249,User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403,5,2013
250,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,111740,,2013
251,NYSK,"Multivariate, Sequential, Text",Clustering,,10421,7,2013
252,Turkiye Student Evaluation,Multivariate,"Classification, Clustering",,5820,33,2013
253,ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5,2013
254,EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15,2013
255,Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730,9,2013
256,seismic-bumps,Multivariate,Classification,Real,2584,19,2013
257,banknote authentication,Multivariate,Classification,Real,1372,5,2013
258,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory,Classification,Integer,306,5,2013
259,YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120000,1000000,2013
260,Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910,129,2013
261,Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series","Classification, Clustering",,2747,,2013
262,SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395,20,2013
263,Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242,152,2013
264,SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137,24,2014
265,Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16,2013
266,Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",,"Integer, Real",51,35,2013
267,Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,17,2013
268,EMG dataset in Lower Limb,"Multivariate, Time-Series",,Real,132,5,2014
269,SUSY,,Classification,Real,5000000,18,2014
270,HIGGS,,Classification,Real,11000000,28,2014
271,Qualitative_Bankruptcy,Multivariate,Classification,,250,7,2014
272,LSVT Voice Rehabilitation,Multivariate,Classification,Real,126,309,2014
273,Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,,3,2014
274,Wilt,Multivariate,Classification,,4889,6,2014
275,User Identification From Walking Activity,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014
276,Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014
277,Leaf,Multivariate,Classification,Real,340,16,2014
278,Dresses_Attribute_Sales,Text,"Classification, Clustering",,501,13,2014
279,Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,45781,5,2013
280,Airfoil Self-Noise,Multivariate,Regression,Real,1503,6,2014
281,Wholesale customers,Multivariate,"Classification, Clustering",Integer,440,8,2014
282,Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000,2,2014
283,Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014
284,Urban Land Cover,Multivariate,Classification,,168,148,2014
285,Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering",Integer,100000,55,2014
286,Bach Choral Harmony,Sequential,Classification,,5665,17,2014
